driver_id,permanent_number,code,given_name,family_name,date_of_birth,nationality
albon,23,ALB,Alexander,Albon,1996-03-23,Thai
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish
antonelli,12,ANT,Andrea Kimi,Antonelli,2006-08-25,Italian
paul_aron,,Unknown,Paul,Aron,Unknown,Unknown
bearman,87,BEA,Oliver,Bearman,2005-05-08,British
dino_beganovic,,Unknown,Dino,Beganovic,Unknown,Unknown
bortoleto,5,BOR,Gabriel,Bortoleto,2004-10-14,Brazilian
luke_browning,,Unknown,Luke,Browning,Unknown,Unknown
colapinto,43,COL,Franco,Colapinto,2003-05-27,Argentine
jak_crawford,,Unknown,Jak,Crawford,Unknown,Unknown
doohan,7,DOO,Jack,Doohan,2003-01-20,Australian
felipe_drugovich,,Unknown,Felipe,Drugovich,Unknown,Unknown
alexander_dunne,,Unknown,Alexander,Dunne,Unknown,Unknown
antonio_fuoco,,Unknown,Antonio,Fuoco,Unknown,Unknown
gasly,10,GAS,Pierre,Gasly,1996-02-07,French
hadjar,6,HAD,Isack,Hadjar,2004-09-28,French
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British
ryo_hirakawa,,Unknown,Ryo,Hirakawa,Unknown,Unknown
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German
ayumu_iwasa,,Unknown,Ayumu,Iwasa,Unknown,Unknown
lawson,30,LAW,Liam,Lawson,2002-02-11,New Zealander
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque
arthur_leclerc,,Unknown,Arthur,Leclerc,Unknown,Unknown
arvid_lindblad,41,LIN,Arvid,Lindblad,2007-08-08,British
victor_martins,,Unknown,Victor,Martins,Unknown,Unknown
norris,1,NOR,Lando,Norris,1999-11-13,British
patricio_o_ward,,Unknown,Patricio,O'Ward,Unknown,Unknown
ocon,31,OCO,Esteban,Ocon,1996-09-17,French
piastri,81,PIA,Oscar,Piastri,2001-04-06,Australian
russell,63,RUS,George,Russell,1998-02-15,British
